Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.833427969293078,136.77448627817694,200.58485703314327,3.049999999999997e-2,0.0002761080675511752,"cx0_1: 6.692e-3 "
1,4.6236127217066665,179.5460783121366,110.99368536244498,2.059999999999995e-2,0.0001439922334447398,"cx1_2: 9.300e-3 , cx1_0: 6.692e-3 "
2,4.820535304715237,128.44015507325662,103.78245895299487,1.3600000000000056e-2,0.0002542602391714496,"cx2_3: 6.374e-3 , cx2_1: 9.300e-3 "
3,4.742307627013692,148.74671757239656,83.61429577619546,1.3700000000000045e-2,0.00019857649497861176,"cx3_4: 5.760e-3 , cx3_2: 6.374e-3 "
4,4.816326975558128,141.4189970304086,192.2358803546085,1.0199999999999987e-2,0.00014941193788353482,"cx4_3: 5.760e-3 "
