Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,72.05,143.95,5.175,-0.3361,1.580e-2,0.0256,0.006,3022.222,3.100e-4,3.100e-4,3.100e-4,0_1:9.824e-3,0_1:412.444
Q1,54.18,102.11,5.267,-0.33255,1.350e-2,0.0222,0.0048,3022.222,3.156e-4,3.156e-4,3.156e-4,1_2:1.062e-2; 1_0:9.824e-3,1_2:270.222; 1_0:376.889
Q2,122.04,104.61,5.052,-0.33708,7.250e-2,0.1036,0.0414,3022.222,4.713e-4,4.713e-4,4.713e-4,2_3:1.149e-2; 2_1:1.062e-2,2_3:284.444; 2_1:305.778
Q3,68.7,27.07,4.856,-0.32484,2.980e-2,0.0474,0.0122,3022.222,3.473e-4,3.473e-4,3.473e-4,3_4:9.992e-3; 3_2:1.149e-2,3_4:419.556; 3_2:320
Q4,74.76,89.71,5.119,-0.33613,2.090e-2,0.0308,0.011,3022.222,3.000e-4,3.000e-4,3.000e-4,4_3:9.992e-3,4_3:384
